HighSchool,HSCount,Stay,Dropout,Dropout_Rate
"Urbane College",1,1,0,100.00
"Holloway Vo-Tech High School",1,1,0,100.00
"Holy Trinity Episcopal Academy",1,1,0,100.00
"Dutch Fork High School",1,1,0,100.00
"Lausanne Collegiate School",1,1,0,100.00
"Camden High School            ",1,1,0,100.00
"Elk Grove High School         ",2,2,0,100.00
"Archangel School",1,1,0,100.00
"Colonial Forge High School    ",1,1,0,100.00
"Monroe County High School     ",1,1,0,100.00
"West Jessamine High School    ",2,2,0,100.00
"Gloucester Catholic High Schoo",1,1,0,100.00
"West Anchorage High School    ",1,1,0,100.00
"International School Of Manila",1,1,0,100.00
"Cumberland Valley High School ",1,1,0,100.00
"Brentsville Dist Mid-Senior Hs",1,1,0,100.00
"Homelife Academy",8,8,0,100.00
"Haywood High School",2,2,0,100.00
"Rogers High School            ",1,1,0,100.00
"Ardmore High School           ",1,1,0,100.00
"Lake Placid High School       ",1,1,0,100.00
"IMG Academy",1,1,0,100.00
"Edgewood High School",1,1,0,100.00
"Greenfield High School",1,1,0,100.00
"Polk County High School",2,2,0,100.00
"White Station High School",1,1,0,100.00
"South Warren High School",2,2,0,100.00
"Waukesha South High School",1,1,0,100.00
"William T Dwyer Comm High Scho",1,1,0,100.00
"Gilbert High School",1,1,0,100.00
"Saint Charles West High School",1,1,0,100.00
"Agathos Classical School",2,2,0,100.00
"Family Christian Acad East TN",1,1,0,100.00
"Cross Creek Christian School",1,1,0,100.00
"South Side High School",1,1,0,100.00
"Franklin Community High School",1,1,0,100.00
"Maple Grove High School       ",1,1,0,100.00
"Jackson High School           ",1,1,0,100.00
"Pine Island High School",1,1,0,100.00
"Lafayette High School         ",1,1,0,100.00
"Lincoln-Way Comm High School  ",1,1,0,100.00
"Neuqua Valley High School",1,1,0,100.00
"Christian Cottage School",1,1,0,100.00
"Acellus Academy",1,1,0,100.00
"Central Acad Technology Arts",1,1,0,100.00
"Our Savior New American School",1,1,0,100.00
"Coronado High School",1,1,0,100.00
"Benjamin Franklin High School ",1,1,0,100.00
"Oak Creek-Franklin High School",1,1,0,100.00
"Mount Zion High School",1,1,0,100.00
"Walter Panas High School",1,1,0,100.00
"Leesville High School         ",1,1,0,100.00
"Union Co High School          ",1,1,0,100.00
"Mt Airy High School           ",1,1,0,100.00
"Tennessee Connections Academy",1,1,0,100.00
"St Edward High School         ",1,1,0,100.00
"Stratford Academy             ",1,1,0,100.00
"Alan C Pope High School       ",1,1,0,100.00
"Valor Collegiate Academy",1,1,0,100.00
"Alpha Omega Academy",1,1,0,100.00
"Spencer County High School    ",1,1,0,100.00
"Herron High School",1,1,0,100.00
"Harding Academy Of Memphis",2,2,0,100.00
"Bolivar Central High School",2,2,0,100.00
"Milton High School",1,1,0,100.00
"Frank Hughes High School",2,2,0,100.00
"Christ Presbyterian Academy",1,1,0,100.00
"Muscle Shoals High School     ",1,1,0,100.00
"Milford High School           ",1,1,0,100.00
"Faith Heritage Christian Acad",2,2,0,100.00
"Lafayette Sr High School      ",1,1,0,100.00
"Battle Ground Academy",2,2,0,100.00
"Wright City High School       ",1,1,0,100.00
"Liberty University Online Acad",2,2,0,100.00
"United Christian Academy",2,2,0,100.00
"Blue Ridge High School        ",1,1,0,100.00
"James Clemens High School",1,1,0,100.00
